step,3915-choose-best,3915-choose-first,6058-choose-best,6058-choose-first,7494-choose-best,7494-choose-first,time-3915-choose-best,time-3915-choose-first,time-6058-choose-best,time-6058-choose-first,time-7494-choose-best,time-7494-choose-first
222,0.551296,0.14453,0.561274,0.167515,0.532705,0.138293,,,,,,
223,0.551806,0.145097,0.561873,0.169291,0.533266,0.138462,,,,,,
224,0.552313,0.145109,0.56246,0.170588,0.533828,0.138863,,,,,,
225,0.552821,0.145275,0.563047,0.170594,0.534762,0.139877,,,,,,
226,0.553301,0.145287,0.56402,0.171393,0.535324,0.14867,,,,,,
227,0.55376,0.14705,0.564608,0.17204,0.535887,0.149138,,,,,,
228,0.554226,0.147877,0.565196,0.172042,0.536448,0.150403,,,,,,
229,0.554688,0.147899,0.565774,0.172126,0.53701,0.150598,,,,,,
230,0.555143,0.148251,0.566351,0.172132,0.537571,0.150892,,,,,,
231,0.555694,0.149174,0.566929,0.173612,0.538317,0.150893,,,,,,
232,0.556143,0.155005,0.567506,0.173627,0.53888,0.150992,,,,,,
233,0.55659,0.155296,0.568084,0.173799,0.539441,0.152704,,,,,,
234,0.557042,0.155297,0.568654,0.174281,0.540001,0.152713,,,,,,
235,0.55747,0.156149,0.5692,0.174614,0.54056,0.153646,,,,,,
236,0.557975,0.157703,0.569745,0.174828,0.541117,0.15365,,,,,,
237,0.558437,0.157852,0.570282,0.174835,0.541771,0.153833,,,,,,
238,0.558872,0.158259,0.570809,0.175456,0.542463,0.154005,,,,,,
239,0.559286,0.15826,0.571336,0.175471,0.543053,0.154006,,,,,,
240,0.559682,0.159711,0.572021,0.175478,0.543635,0.154202,,,,,,
241,0.560259,0.160894,0.572534,0.17552,0.544182,0.154834,,,,,,
242,0.560835,0.161436,0.573038,0.175907,0.544593,0.164196,,,,,,
243,0.561231,0.161455,0.57354,0.176341,0.544986,0.168602,,,,,,
244,0.56162,0.163273,0.574025,0.177299,0.545369,0.169693,,,,,,
245,0.562009,0.163278,0.574494,0.178463,0.545751,0.169694,,,,,,
246,0.56258,0.164271,0.574961,0.181865,0.546131,0.169698,,,,,,
247,0.56296,0.16455,0.575412,0.181867,0.546511,0.170035,,,,,,
248,0.563329,0.164551,0.575862,0.181906,0.54689,0.17008,,,,,,
249,0.563698,0.165469,0.576295,0.183059,0.547268,0.170388,,,,,,
250,0.564063,0.166357,0.576727,0.183804,0.547646,0.170397,,,,,,
251,0.564428,0.166449,0.577144,0.18395,0.548023,0.174093,,,,,,
252,0.564793,0.179329,0.577557,0.18437,0.548401,0.1818,,,,,,
